"hofID","yearid","votedBy","ballots","votes","inducted","category"
"aaronha01h",1982,"BW",415,406,"Y","Player"
"alexape01h",1938,"BW",262,212,"Y","Player"
"alstowa01h",1983,"VC",,,"Y","Manager"
"andersp01h",2000,"VC",,,"Y","Manager"
"ansonca01h",1939,"VC",,,"Y","Player"
"aparilu01h",1984,"BW",403,341,"Y","Player"
"applilu01h",1964,"BW",225,189,"Y","Player"
"ashburi01h",1995,"VC",,,"Y","Player"
"averiea01h",1975,"VC",,,"Y","Player"
"bakerfr01h",1955,"VC",,,"Y","Player"
"bancrda01h",1971,"VC",,,"Y","Player"
"bankser01h",1977,"BW",383,321,"Y","Player"
"barlial99h",1989,"VC",,,"Y","Umpire"
"barroed99h",1953,"VC",,,"Y","Pioneer/Executive"
"becklja01h",1971,"VC",,,"Y","Player"
"bellco99h",1974,"NL",,,"Y","Player"
"benchjo01h",1989,"BW",447,431,"Y","Player"
"bendech01h",1953,"VC",,,"Y","Player"
"berrayo01h",1972,"BW",396,339,"Y","Player"
"boggswa01h",2005,"BW",516,474,"Y","Player"
"bottoji01h",1974,"VC",,,"Y","Player"
"boudrlo01h",1970,"BW",300,232,"Y","Player"
"bresnro01h",1945,"VC",,,"Y","Player"
"brettge01h",1999,"BW",497,488,"Y","Player"
"brocklo01h",1985,"BW",395,315,"Y","Player"
"broutda01h",1945,"VC",,,"Y","Player"
"brownmo01h",1949,"VC",,,"Y","Player"
"brownra99h",2006,"NL",,,"Y","Player"
"brownwi02h",2006,"NL",,,"Y","Player"
"bulkemo99h",1937,"VC",,,"Y","Pioneer/Executive"
"bunniji01h",1996,"VC",,,"Y","Player"
"burkeje01h",1946,"VC",,,"Y","Player"
"camparo01h",1969,"BW",340,270,"Y","Player"
"carewro01h",1991,"BW",443,401,"Y","Player"
"careyma01h",1961,"VC",,,"Y","Player"
"carltst01h",1994,"BW",455,436,"Y","Player"
"cartega01h",2003,"BW",496,387,"Y","Player"
"cartwal99h",1938,"VC",,,"Y","Pioneer/Executive"
"cepedor01h",1999,"VC",,,"Y","Player"
"chadwhe99h",1938,"VC",,,"Y","Pioneer/Executive"
"chancfr01h",1946,"VC",,,"Y","Player"
"chandha99h",1982,"VC",,,"Y","Pioneer/Executive"
"charlos99h",1976,"NL",,,"Y","Player"
"chesbja01h",1946,"VC",,,"Y","Player"
"chylane99h",1999,"VC",,,"Y","Umpire"
"clarkfr01h",1945,"VC",,,"Y","Player"
"clarkjo01h",1963,"VC",,,"Y","Player"
"clemero01h",1973,"BW",424,393,"Y","Player"
"cobbty01h",1936,"BW",226,222,"Y","Player"
"cochrmi01h",1947,"BW",161,128,"Y","Player"
"collied01h",1939,"BW",274,213,"Y","Player"
"colliji01h",1945,"VC",,,"Y","Player"
"combsea01h",1970,"VC",,,"Y","Player"
"comisch01h",1939,"VC",,,"Y","Pioneer/Executive"
"conlajo01h",1974,"VC",,,"Y","Umpire"
"connoro01h",1976,"VC",,,"Y","Player"
"connoto99h",1953,"VC",,,"Y","Umpire"
"coopean99h",2006,"NL",,,"Y","Player"
"covelst01h",1969,"VC",,,"Y","Player"
"crawfsa01h",1957,"VC",,,"Y","Player"
"cronijo01h",1956,"BW",193,152,"Y","Player"
"cummica01h",1939,"VC",,,"Y","Pioneer/Executive"
"cuyleki01h",1968,"VC",,,"Y","Player"
"dandrra99h",1987,"VC",,,"Y","Player"
"davisge01h",1998,"VC",,,"Y","Player"
"dayle99h",1995,"VC",,,"Y","Player"
"deandi01h",1953,"BW",264,209,"Y","Player"
"delahed01h",1945,"VC",,,"Y","Player"
"dickebi01h",1954,"BW",252,202,"Y","Player"
"dihigma99h",1977,"NL",,,"Y","Player"
"dimagjo01h",1955,"BW",251,223,"Y","Player"
"dobyla01h",1998,"VC",,,"Y","Player"
"doerrbo01h",1986,"VC",,,"Y","Player"
"dreyfba99h",2008,"VC",,,"Y","Pioneer/Executive"
"drysddo01h",1984,"BW",403,316,"Y","Player"
"duffyhu01h",1945,"VC",,,"Y","Player"
"durocle01h",1994,"VC",,,"Y","Manager"
"eckerde01h",2004,"BW",497,421,"Y","Player"
"evansbi99h",1973,"VC",,,"Y","Umpire"
"eversjo01h",1946,"VC",,,"Y","Player"
"ewingbu01h",1939,"VC",,,"Y","Player"
"faberre01h",1964,"VC",,,"Y","Player"
"fellebo01h",1962,"BW",160,150,"Y","Player"
"ferreri01h",1984,"VC",,,"Y","Player"
"fingero01h",1992,"BW",430,349,"Y","Player"
"fiskca01h",2000,"BW",499,397,"Y","Player"
"flickel01h",1963,"VC",,,"Y","Player"
"fordwh01h",1974,"BW",365,284,"Y","Player"
"fostebi99h",1996,"VC",,,"Y","Player"
"fosteru99h",1981,"VC",,,"Y","Manager"
"foxne01h",1997,"VC",,,"Y","Player"
"foxxji01h",1951,"BW",226,179,"Y","Player"
"frickfo99h",1970,"VC",,,"Y","Pioneer/Executive"
"friscfr01h",1947,"BW",161,136,"Y","Player"
"galvipu01h",1965,"VC",,,"Y","Player"
"gehrich01h",1949,"BW",187,159,"Y","Player"
"gehrilo01h",1939,"BW",,,"Y","Player"
"gibsobo01h",1981,"BW",401,337,"Y","Player"
"gibsojo99h",1972,"NL",,,"Y","Player"
"gileswa99h",1979,"VC",,,"Y","Pioneer/Executive"
"gomezle01h",1972,"VC",,,"Y","Player"
"gordojo01h",2009,"VC",,,"Y","Player"
"gosligo01h",1968,"VC",,,"Y","Player"
"gossari01h",2008,"BW",543,466,"Y","Player"
"grantfr99h",2006,"NL",,,"Y","Player"
"greenha01h",1956,"BW",193,164,"Y","Player"
"griffcl01h",1946,"VC",,,"Y","Pioneer/Executive"
"grimebu01h",1964,"VC",,,"Y","Player"
"grovele01h",1947,"BW",161,123,"Y","Player"
"gwynnto01h",2007,"BW",545,532,"Y","Player"
"hafeych01h",1971,"VC",,,"Y","Player"
"haineje01h",1970,"VC",,,"Y","Player"
"hamilbi01h",1961,"VC",,,"Y","Player"
"hanlone01h",1996,"VC",,,"Y","Manager"
"harribu01h",1975,"VC",,,"Y","Manager"
"harriwi99h",1972,"VC",,,"Y","Pioneer/Executive"
"hartnga01h",1955,"BW",251,195,"Y","Player"
"heilmha01h",1952,"BW",234,203,"Y","Player"
"henderi01h",2009,"BW",539,511,"Y","Player"
"hermabi01h",1975,"VC",,,"Y","Player"
"hillpe99h",2006,"NL",,,"Y","Player"
"hoopeha01h",1971,"VC",,,"Y","Player"
"hornsro01h",1942,"BW",233,182,"Y","Player"
"hoytwa01h",1969,"VC",,,"Y","Player"
"hubbaca99h",1976,"VC",,,"Y","Umpire"
"hubbeca01h",1947,"BW",161,140,"Y","Player"
"huggimi01h",1964,"VC",,,"Y","Manager"
"hulbewi99h",1995,"VC",,,"Y","Pioneer/Executive"
"hunteca01h",1987,"BW",413,315,"Y","Player"
"irvinmo01h",1973,"NL",,,"Y","Player"
"jacksre01h",1993,"BW",423,396,"Y","Player"
"jackstr01h",1982,"VC",,,"Y","Player"
"jenkife01h",1991,"BW",443,334,"Y","Player"
"jennihu01h",1945,"VC",,,"Y","Player"
"johnsba99h",1937,"VC",,,"Y","Pioneer/Executive"
"johnsju99h",1975,"NL",,,"Y","Player"
"johnswa01h",1936,"BW",226,189,"Y","Player"
"jossad01h",1978,"VC",,,"Y","Player"
"kalinal01h",1980,"BW",385,340,"Y","Player"
"keefeti01h",1964,"VC",,,"Y","Player"
"keelewi01h",1939,"BW",274,207,"Y","Player"
"kellejo01h",1971,"VC",,,"Y","Player"
"kellge01h",1983,"VC",,,"Y","Player"
"kellyge01h",1973,"VC",,,"Y","Player"
"kellyki01h",1945,"VC",,,"Y","Player"
"killeha01h",1984,"BW",403,335,"Y","Player"
"kinerra01h",1975,"BW",362,273,"Y","Player"
"kleinch01h",1980,"VC",,,"Y","Player"
"klembi99h",1953,"VC",,,"Y","Umpire"
"koufasa01h",1972,"BW",396,344,"Y","Player"
"kuhnbo99h",2008,"VC",,,"Y","Pioneer/Executive"
"lajoina01h",1937,"BW",201,168,"Y","Player"
"landike99h",1944,"VC",,,"Y","Pioneer/Executive"
"lasorto01h",1997,"VC",,,"Y","Manager"
"lazzeto01h",1991,"VC",,,"Y","Player"
"lemonbo01h",1976,"BW",388,305,"Y","Player"
"leonabu99h",1972,"NL",,,"Y","Player"
"lindsfr01h",1976,"VC",,,"Y","Player"
"lloydpo99h",1977,"NL",,,"Y","Player"
"lombaer01h",1986,"VC",,,"Y","Player"
"lopezal01h",1977,"VC",,,"Y","Manager"
"lyonste01h",1955,"BW",251,217,"Y","Player"
"mackco01h",1937,"VC",,,"Y","Manager"
"mackebi99h",2006,"NL",,,"Y","Player"
"macphla99h",1978,"VC",,,"Y","Pioneer/Executive"
"macphle99h",1998,"VC",,,"Y","Pioneer/Executive"
"manleef99h",2006,"NL",,,"Y","Pioneer/Executive"
"mantlmi01h",1974,"BW",365,322,"Y","Player"
"manushe01h",1964,"VC",,,"Y","Player"
"maranra01h",1954,"BW",252,209,"Y","Player"
"maricju01h",1983,"BW",374,313,"Y","Player"
"marquru01h",1971,"VC",,,"Y","Player"
"mathech01h",1936,"BW",226,205,"Y","Player"
"matheed01h",1978,"BW",379,301,"Y","Player"
"mayswi01h",1979,"BW",432,409,"Y","Player"
"mazerbi01h",2001,"VC",,,"Y","Player"
"mccarjo99h",1957,"VC",,,"Y","Manager"
"mccarto01h",1946,"VC",,,"Y","Player"
"mccovwi01h",1986,"BW",425,346,"Y","Player"
"mcginjo01h",1946,"VC",,,"Y","Player"
"mcgowbi99h",1992,"VC",,,"Y","Umpire"
"mcgrajo01h",1937,"VC",,,"Y","Manager"
"mckecbi01h",1962,"VC",,,"Y","Manager"
"mcphebi01h",2000,"VC",,,"Y","Player"
"medwijo01h",1968,"BW",283,240,"Y","Player"
"mendejo99h",2006,"NL",,,"Y","Player"
"mizejo01h",1981,"VC",,,"Y","Player"
"molitpa01h",2004,"BW",497,431,"Y","Player"
"morgajo02h",1990,"BW",444,363,"Y","Player"
"murraed02h",2003,"BW",496,423,"Y","Player"
"musiast01h",1969,"BW",340,317,"Y","Player"
"newhoha01h",1992,"VC",,,"Y","Player"
"nichoki01h",1949,"VC",,,"Y","Player"
"niekrph01h",1997,"BW",473,380,"Y","Player"
"omallwa99h",2008,"VC",,,"Y","Pioneer/Executive"
"orourji01h",1945,"VC",,,"Y","Player"
"ottme01h",1951,"BW",226,197,"Y","Player"
"paigesa01h",1971,"NL",,,"Y","Player"
"palmeji01h",1990,"BW",444,411,"Y","Player"
"pennohe01h",1948,"BW",121,94,"Y","Player"
"perezto01h",2000,"BW",499,385,"Y","Player"
"perryga01h",1991,"BW",443,342,"Y","Player"
"planked01h",1946,"VC",,,"Y","Player"
"pompeal99h",2006,"NL",,,"Y","Pioneer/Executive"
"poseycu99h",2006,"NL",,,"Y","Pioneer/Executive"
"puckeki01h",2001,"BW",515,423,"Y","Player"
"radboch01h",1939,"VC",,,"Y","Player"
"reesepe01h",1984,"VC",,,"Y","Player"
"riceji01h",2009,"BW",539,412,"Y","Player"
"ricesa01h",1963,"VC",,,"Y","Player"
"rickebr01h",1967,"VC",,,"Y","Pioneer/Executive"
"ripkeca01h",2007,"BW",545,537,"Y","Player"
"rixeyep01h",1963,"VC",,,"Y","Player"
"rizzuph01h",1994,"VC",,,"Y","Player"
"roberro01h",1976,"BW",388,337,"Y","Player"
"robinbr01h",1983,"BW",374,344,"Y","Player"
"robinfr02h",1982,"BW",415,370,"Y","Player"
"robinja02h",1962,"BW",160,124,"Y","Player"
"robinwi01h",1945,"VC",,,"Y","Manager"
"roganbu99h",1998,"VC",,,"Y","Player"
"roushed01h",1962,"VC",,,"Y","Player"
"ruffire01h",1967,"BW",306,266,"Y","Player"
"rusieam01h",1977,"VC",,,"Y","Player"
"ruthba01h",1936,"BW",226,215,"Y","Player"
"ryanno01h",1999,"BW",497,491,"Y","Player"
"sandbry01h",2005,"BW",516,393,"Y","Player"
"santolo99h",2006,"NL",,,"Y","Player"
"schalra01h",1955,"VC",,,"Y","Player"
"schmimi01h",1995,"BW",460,444,"Y","Player"
"schoere01h",1989,"VC",,,"Y","Player"
"seaveto01h",1992,"BW",430,425,"Y","Player"
"seleefr99h",1999,"VC",,,"Y","Manager"
"seweljo01h",1977,"VC",,,"Y","Player"
"simmoal01h",1953,"BW",264,199,"Y","Player"
"sislege01h",1939,"BW",274,235,"Y","Player"
"slaugen01h",1985,"VC",,,"Y","Player"
"smithhi99h",2001,"VC",,,"Y","Player"
"smithoz01h",2002,"BW",472,433,"Y","Player"
"snidedu01h",1980,"BW",385,333,"Y","Player"
"southbi01h",2008,"VC",,,"Y","Manager"
"spahnwa01h",1973,"BW",380,315,"Y","Player"
"spaldal01h",1939,"VC",,,"Y","Pioneer/Executive"
"speaktr01h",1937,"BW",201,165,"Y","Player"
"stargwi01h",1988,"BW",427,352,"Y","Player"
"steartu99h",2000,"VC",,,"Y","Player"
"stengca01h",1966,"VC",,,"Y","Manager"
"suttebr01h",2006,"BW",520,400,"Y","Player"
"suttlmu99h",2006,"NL",,,"Y","Player"
"suttodo01h",1998,"BW",473,386,"Y","Player"
"taylobe99h",2006,"NL",,,"Y","Player"
"terrybi01h",1954,"BW",252,195,"Y","Player"
"thompsa01h",1974,"VC",,,"Y","Player"
"tinkejo01h",1946,"VC",,,"Y","Player"
"torricr99h",2006,"NL",,,"Y","Player"
"traynpi01h",1948,"BW",121,93,"Y","Player"
"vanceda01h",1955,"BW",251,205,"Y","Player"
"vaughar01h",1985,"VC",,,"Y","Player"
"veeckbi99h",1991,"VC",,,"Y","Pioneer/Executive"
"wadderu01h",1946,"VC",,,"Y","Player"
"wagneho01h",1936,"BW",226,215,"Y","Player"
"wallabo01h",1953,"VC",,,"Y","Player"
"walshed01h",1946,"VC",,,"Y","Player"
"wanerll01h",1967,"VC",,,"Y","Player"
"wanerpa01h",1952,"BW",234,195,"Y","Player"
"wardjo01h",1964,"VC",,,"Y","Player"
"weaveea99h",1996,"VC",,,"Y","Manager"
"weissge99h",1971,"VC",,,"Y","Pioneer/Executive"
"welchmi01h",1973,"VC",,,"Y","Player"
"wellswi99h",1997,"VC",,,"Y","Player"
"wheatza01h",1959,"VC",,,"Y","Player"
"whiteso99h",2006,"NL",,,"Y","Pioneer/Executive"
"wilheho01h",1985,"BW",395,331,"Y","Player"
"wilkijl99h",2006,"NL",,,"Y","Pioneer/Executive"
"willibi01h",1987,"BW",413,354,"Y","Player"
"willidi02h",2008,"VC",,,"Y","Manager"
"willijo99h",1999,"VC",,,"Y","Player"
"willite01h",1966,"BW",302,282,"Y","Player"
"willivi01h",1995,"VC",,,"Y","Player"
"wilsoha01h",1979,"VC",,,"Y","Player"
"wilsoju99h",2006,"NL",,,"Y","Player"
"winfida01h",2001,"BW",515,435,"Y","Player"
"wrighge01h",1937,"VC",,,"Y","Pioneer/Executive"
"wrighha01h",1953,"VC",,,"Y","Pioneer/Executive"
"wynnea01h",1972,"BW",396,301,"Y","Player"
"yastrca01h",1989,"BW",447,423,"Y","Player"
"yawketo99h",1980,"VC",,,"Y","Pioneer/Executive"
"youngcy01h",1937,"BW",201,153,"Y","Player"
"youngro01h",1972,"VC",,,"Y","Player"
"yountro01h",1999,"BW",497,385,"Y","Player"
